step, bot.name, bot.movementDirection, bot.linearVelocity, bot.joints
1,Bot1,(-0.017452, 0.139173),(0.0, 0.0),
1,Bot2,(0.544639, -0.559193),(0.0, 0.0),
1,Bot3,(0.961262, 0.069756),(0.0, 0.0),
1,Bot4,(-0.984808, -0.406737),(0.0, 0.0),
1,Bot5,(-0.766044, -0.438371),(0.0, 0.0),
1,Bot6,(-0.996195, 0.829038),(0.0, 0.0),
1,Bot7,(0.374607, 0.838671),(0.0, 0.0),
1,Bot8,(0.34202, 0.992546),(0.0, 0.0),
1,Bot9,(0.104528, -0.694658),(0.0, 0.0),
1,Bot10,(0.956305, -0.406737),(0.0, 0.0),
1,Bot11,(0.978148, -0.224951),(0.0, 0.0),
1,Bot12,(-0.292372, 0.970296),(0.0, 0.0),
2,Bot1,(-0.017452, 0.139173),(-2.375416, 16.09698),Bot2,Bot3,
2,Bot2,(0.544639, -0.559193),(10.89629, -11.23568),Bot1,Bot4,
2,Bot3,(0.961262, 0.069756),(18.06886, 0.604659),Bot1,Bot4,
2,Bot4,(-0.984808, -0.406737),(-14.65247, -6.06117),Bot2,Bot3,
2,Bot5,(-0.766044, -0.438371),(-16.12103, -9.221725),
2,Bot6,(-0.996195, 0.829038),(-14.284, 11.88885),
2,Bot7,(0.374607, 0.838671),(7.570592, 16.96022),
2,Bot8,(0.34202, 0.992546),(6.046188, 17.56241),
2,Bot9,(0.104528, -0.694658),(2.770894, -18.37223),
2,Bot10,(0.956305, -0.406737),(17.09831, -7.277237),
2,Bot11,(0.978148, -0.224951),(18.1065, -4.170083),
2,Bot12,(-0.292372, 0.970296),(-5.366183, 17.78996),
3,Bot1,(-0.017452, 0.139173),(-5.349242, 33.82095),Bot2,Bot3,
3,Bot2,(0.544639, -0.559193),(22.72125, -23.31025),Bot1,Bot4,
3,Bot3,(0.961262, 0.069756),(41.70308, -0.222015),Bot1,Bot4,
3,Bot4,(-0.984808, -0.406737),(-30.38171, -12.12451),Bot2,Bot3,
3,Bot5,(-0.766044, -0.438371),(-38.81861, -22.20392),
3,Bot6,(-0.996195, 0.829038),(-34.39799, 28.63121),
3,Bot7,(0.374607, 0.838671),(18.22872, 40.8409),
3,Bot8,(0.34202, 0.992546),(14.55777, 42.29116),
3,Bot9,(0.104528, -0.694658),(6.675099, -44.24191),
3,Bot10,(0.956305, -0.406737),(41.17492, -17.52628),
3,Bot11,(0.978148, -0.224951),(43.6023, -10.04394),
3,Bot12,(-0.292372, 0.970296),(-12.92408, 42.84026),
4,Bot1,(-0.017452, 0.139173),(-5.248573, 35.60896),Bot2,Bot3,
4,Bot2,(0.544639, -0.559193),(24.0877, -24.48842),Bot1,Bot4,
4,Bot3,(0.961262, 0.069756),(49.07896, -1.293035),Bot1,Bot4,
4,Bot4,(-0.984808, -0.406737),(-31.17542, -12.44868),Bot2,Bot3,
4,Bot5,(-0.766044, -0.438371),(-49.54902, -28.33896),
4,Bot6,(-0.996195, 0.829038),(-43.91027, 36.55019),
4,Bot7,(0.374607, 0.838671),(23.2673, 52.13459),
4,Bot8,(0.34202, 0.992546),(18.5812, 53.9862),
4,Bot9,(0.104528, -0.694658),(8.524524, -56.47536),
